speaker	vowel	context	F1	F2	F3	gl.F1	gl.F2	gl.F3
Bryant+McArthur	OW	SNOW	411.1	1456	2388.9	NA	NA	NA
Bryant+McArthur	ER	WERE	442.2	1152.8	1539	NA	NA	NA
Bryant+McArthur	AY	EYES	900.3	1457.2	2354.2	NA	NA	NA
Bryant+McArthur	EH	PREVENTS	659.3	1605	2528.6	NA	NA	NA
Bryant+McArthur	IY	HE	316.1	2287	3061.1	NA	NA	NA
Bryant+McArthur	OW	SLOWLY	412.4	1246	1757.3	NA	NA	NA
Bryant+McArthur	EY	TAKES	493.6	2026.8	2769.5	NA	NA	NA
Bryant+McArthur	AO	SHORT	360.7	1071.3	1917.9	NA	NA	NA
Bryant+McArthur	AO	WALK	618	1054.1	1303.6	NA	NA	NA
Bryant+McArthur	IY	ME	435.3	2270.1	2767.6	NA	NA	NA
Bryant+McArthur	OW	OPEN	539.5	1225	2892.8	NA	NA	NA
Bryant+McArthur	EH	AIR	524.2	1952.7	2253.3	NA	NA	NA
Bryant+McArthur	IY	EACH	303.1	2107.9	2771.9	NA	NA	NA
Bryant+McArthur	EY	DAY	556.7	2004.9	2766.4	NA	NA	NA
Bryant+McArthur	IY	WE	363.7	2041.7	2681	NA	NA	NA
Bryant+McArthur	AO	OFTEN	674.3	1093.3	1915.9	NA	NA	NA
Bryant+McArthur	ER	URGED	536.8	1463.4	1784.4	NA	NA	NA
Bryant+McArthur	IH	HIM	419.7	1899.1	2501.9	NA	NA	NA
Bryant+McArthur	UW	TO	385	1407.5	2333.5	NA	NA	NA
Bryant+McArthur	AO	WALK	598.6	999.2	2209.8	NA	NA	NA
Bryant+McArthur	AO	MORE	376.4	1094.9	2133.3	NA	NA	NA
Bryant+McArthur	OW	SMOKE	371.3	1165.9	1777.7	NA	NA	NA
Bryant+McArthur	EH	LESS	751	1497.2	2819	NA	NA	NA
Bryant+McArthur	IY	LEO'S	361.7	2004.4	2587	NA	NA	NA
Bryant+McArthur	AE	ANSWERS	618.5	2206.2	3511.2	NA	NA	NA
Bryant+McArthur	AE	BANANA	597.4	1995.1	2878.1	NA	NA	NA
Bryant+McArthur	OY	OIL	452.4	959.2	2654.9	NA	NA	NA
