"Language" "PHON" "count" "max" "mean" "median" "min" "range" "std"
"1" "E" "k" 173 0.0924 0.0482 0.0469 0.014 0.0784 0.0187
"2" "E" "p" 168 0.1263 0.0322 0.0265 0.0041 0.1222 0.0245
"3" "E" "t" 189 0.1588 0.0535 0.0508 0.003 0.1557 0.0264
"4" "H" "k" 193 0.1074 0.0415 0.0372 0.0024 0.1051 0.0227
"5" "H" "p" 159 0.136 0.0277 0.0218 0.0035 0.1324 0.0209
"6" "H" "t" 185 0.1275 0.0472 0.047 0.0082 0.1193 0.0254
"7" "S" "k" 158 0.1024 0.0358 0.032 0.0073 0.095 0.0177
"8" "S" "p" 161 0.097 0.0186 0.014 0.0041 0.093 0.0142
"9" "S" "t" 192 0.136 0.0348 0.0278 0.0052 0.1308 0.0227
